Diameter_cm,Longitude,Latitude,Height_m,Volume_cum,SubPlot,x2,x3,DBHClass,Diameter_in,Height_ft,Volume_cuft,CC
41,1003,1317,23.5,1.213,D1,110,0,4,16.14173228,77.09974,42.83669072,D
48,1004,4583,27.1,2.185,A1,54,14,5,18.8976378,88.910764,77.16254676,D
32,1005,1014,10.1,0.329,D1,112,0,3,12.5984252,33.136484,11.61852535,S
90,1005,4445,31.7,5.466,A1,57,0,9,35.43307087,104.002628,193.0299682,D
39,1006,4703,24.4,1.053,A1,53,0,4,15.35433071,80.052496,37.18634405,D
55,1010,3924,26.5,2.381,B1,1,0,6,21.65354331,86.94226,84.08422144,D
50,1010,4450,30.5,1.888,A1,56,0,5,19.68503937,100.06562,66.67409075,D
52,1013,2383,31.7,3.039,C1,98,14,5,20.47244094,104.002628,107.3212721,D
49,1013,3655,25.5,1.822,B1,47,0,5,19.29133858,83.66142,64.34332275,D
33,1014,3003,21,0.73,B1,97,0,3,12.99212598,68.89764,25.7797067,D
28,1016,2589,22.3,0.586,C1,43,0,3,11.02362205,73.162732,20.69439469,D
46,1019,2914,27.1,1.674,C1,1,0,5,18.11023622,88.910764,59.11675208,D
37,1020,1188,22.6,1.007,D1,111,0,4,14.56692913,74.146984,35.56186938,D
47,1021,1822,34.1,2.919,D1,2,0,5,18.50393701,111.876644,103.0835121,D
38,1022,2694,20.7,1.04,C1,41,0,4,14.96062992,67.913388,36.72725338,D
30,1022,4544,11.3,0.27,A1,55,0,3,11.81102362,37.073492,9.534960012,S
32,1024,2628,21,0.667,C1,42,0,3,12.5984252,68.89764,23.5548827,D
35,1025,1354,21.9,0.927,D1,109,0,4,13.77952756,71.850396,32.73669604,D
75,1028,3179,38.3,4.761,B1,95,2,8,29.52755906,125.656172,168.1331282,D
25,1030,1118,18.4,0.38,D1,115,0,3,9.842519685,60.367456,13.41957335,S
34,1032,4102,21.3,0.799,A1,105,0,3,13.38582677,69.881892,28.2164187,D
48,1034,2428,28.3,2.257,C1,47,0,5,18.8976378,92.847772,79.70520277,D
68,1035,1368,28.3,4.738,D1,108,0,7,26.77165354,92.847772,167.3208909,D
75,1037,1941,34,4.798,D1,1,0,8,29.52755906,111.54856,169.4397709,D
90,1039,3097,35.5,5.786,B1,96,0,9,35.43307087,116.46982,204.3306616,D
